"_id","project_name","beneficiary_name","total_amount","eu_cofinancing_amount","total_amount_eligible","eu_cofinancing_amount_eligible","amount","amount_kind","approval_date","beneficiary_address","beneficiary_city","beneficiary_country","beneficiary_country_code","beneficiary_county","beneficiary_id","beneficiary_nuts_code","beneficiary_nuts_region","beneficiary_person","beneficiary_postal_code","beneficiary_url","cci_program_code","completion_date","currency","eu_cofinancing_rate","final_payment_date","first_payment_date","fund_acronym","funding_period","management_authority","member_state_amount","operational_programme","priority_label","priority_number","project_description","project_status","source","starting_date","theme_code","theme_name","third_party_amount","total_amount_applied"
9357,Ochrona rybitw na Warmii i Mazurach,Polskie Towarzystwo Ochrony Ptaków,3148444.79,2674778.44,,,670906.2308056706,eu_cofinancing_amount,,"","",POLSKA,PL,"",Ochrony polskie ptakow towarzystwo,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9358,Wdrożenie internetowego systemu klasy B2B integrującego proces tworzenia i zarządzania dokumentacją prawną,Dokumenty Spólka z ograniczoną odpowiedzialnością,4520000.0,2673930.0,,,670693.4192793205,eu_cofinancing_amount,,"","",POLSKA,PL,"",Dokumenty odpowiedzialnoscia ograniczona spolka z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9359,Wdrożenie systemu e-szpital 2.0 w Szpitalu Wolskim w Warszawie,Szpital Wolski im. Dr. Anny Gostyńskiej Samodzielny Publiczny Zakład Opieki Zdrowotnej,3241537.53,2673341.74,,,670545.8678808826,eu_cofinancing_amount,,"","",POLSKA,PL,"",Anny dr gostynskiej im opieki publiczny samodzielny szpital wolski zaklad zdrowotnej,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9360,Wdrożenie nowej optycznej technologii produkcji wyrobów laminowanych klasy premium,TECHPAK Sp. z o.o.,7157713.56,2673250.0,,,670522.8570263409,eu_cofinancing_amount,,"","",POLSKA,PL,"",Oo sp techpak z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9361,Przebudowa i rozbudowa budynku gospodarczego wraz ze zmianą sposobu użytkowania na hotel i zaplecze bankietowo-konferencyjne oraz budowa basenu w zespole parkowo-pałacowym w dolinie Kaczawy,"""Przedsiębiorstwo Transportowo-Budowlane"" Spółka z ograniczoną",9740302.42,2672437.07,,,670318.9523611721,eu_cofinancing_amount,,"","",POLSKA,PL,"",Budowlane ograniczona przedsiebiorstwo spolka transportowo z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9362,RPD sektora kultura na rok 2012 (WWPE),Władza Wdrażająca Programy Europejskie,3144000.0,2672400.0,,,670309.6542101162,eu_cofinancing_amount,,"","",POLSKA,PL,"",Europejskie programy wdrazajaca wladza,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9363,Poprawa estetyki rynku i nadanie nowych funkcji obiektom użytecznosci publicznej w centralnej części Sokołowa Małopolskiego,Gmina Sokołów Małopolski,3843946.36,2672118.75,,,670239.1091606303,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina malopolski sokolow,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9364,"Kompleksowa modernizacja, odnowa i ochrona budynku Centrum Kulturalnego w Przemyślu - wojewódzkiej instytucji kultury (II część).",Centrum Kulturalne w Przemyślu,5272202.23,2671831.97,,,670167.1770387045,eu_cofinancing_amount,,"","",POLSKA,PL,"",Centrum kulturalne przemyslu w,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9365,Wykorzystanie energii słonecznej jako kolejnego źródła energii odnawialnej w Gminie Siemień,Gmina Siemień,3618680.71,2670700.0,,,669883.248577667,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina siemien,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9366,Rewitalizacja terenów przydworcowych w Radomsku,Gmina Miasto Radomsko,3142355.7,2670414.35,,,669811.5998900735,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina miasto radomsko,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9367,Rozbudowa z przebudową i wyposażeniem budynku Zespołu Szkół Specjalnych w Czersku,Powiat Chojnicki,3183437.68,2670070.19,,,669725.2753239184,eu_cofinancing_amount,,"","",POLSKA,PL,"",Chojnicki powiat,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9368,"Odbudowa mostów w miejscowości Ropczyce w ciągu dróg gminnych: Nr 107510R Pietrzejowa-Witkowice - ul. Szkolna w km 0+406,50 oraz Nr 107539R Chechły-Chechły - ul. Strażacka w km 0+415,20 (PROJEKT KLUCZOWY)",Gmina Ropczyce,3177610.35,2669969.1,,,669699.9192383982,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina ropczyce,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9369,Wdrożenie nowych technologii świadczenia specjalistycznych usług w NZOZ Pustków,NZOZ Zakład Pielęgnacyjno-Opiekuńczy Pustków Spółka z ograniczoną odpowiedzialnością,6058100.0,2669680.0,,,669627.4051981976,eu_cofinancing_amount,,"","",POLSKA,PL,"",Nzoz odpowiedzialnoscia ograniczona opiekunczy pielegnacyjno pustkow spolka z zaklad,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9370,Budowa Gminnego Kompleksu Sportowo-Rekreacyjnego w miejscowości Osiek,Gmina Osiek,4273309.54,2669239.1,,,669516.8156432877,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina osiek,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9371,"„Kompleksowa informatyzacja Starostwa Powiatowego oraz oświatowych jednostek organizacyjnych Powiatu"".",Powiat Garwolinski,3222781.86,2668792.48,,,669404.791358838,eu_cofinancing_amount,,"","",POLSKA,PL,"",Garwolinski powiat,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9372,Zwiększenie zdolności produkcyjnych POLITECH sp. z o.o. poprzez wybudowanie hali produkcyjnej oraz zakup nowoczesnych maszyn i oprogramowania,POLITECH spółka z ograniczoną odpowiedzialnością,7372980.0,2668515.5,,,669335.3173399699,eu_cofinancing_amount,,"","",POLSKA,PL,"",Odpowiedzialnoscia ograniczona politech spolka z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9373,"„Budowa sieci kanalizacji sanitarnej w mieście Kcynia etapy: III, IV, IVA, VII i VIII”",Gmina Kcynia,4105178.0,2668365.7,,,669297.7434789458,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina kcynia,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9374,Rozbudowa Domu Pomocy Społecznej w Górnie.,Powiat Rzeszowski,3811516.17,2668061.31,,,669221.3942963217,eu_cofinancing_amount,,"","",POLSKA,PL,"",Powiat rzeszowski,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9375,Kościański trakt rekreacyjny,Gmina Miejska Kościan,4898057.92,2667623.63,,,669111.612403845,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina koscian miejska,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9376,Przebudowa ulicy Częstochowskiej w Kaliszu na odc. od ul. Teatralnej do ul. Nowy Świat wraz z remontem obiektu mostowego,Miasto Kalisz,5399406.19,2667605.0,,,669106.939499767,eu_cofinancing_amount,,"","",POLSKA,PL,"",Kalisz miasto,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9377,Termomodernizacja obiektów dydaktyczno-badawczych Politechniki Gdanskiej i Uniwersytetu Gdańskiego w Gdańsku,Politechnika Gdańska,4356457.05,2667540.05,,,669090.648296339,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gdanska politechnika,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9378,Renowacja budynku Plebanii szansą na podniesienie atrakcyjności Gminy Radzymin,Parafia pod Wezwaniem Przemienienia Pańskiego w Radzyminie,3143195.23,2667527.39,,,669087.4728285115,eu_cofinancing_amount,,"","",POLSKA,PL,"",Panskiego parafia pod przemienienia radzyminie w wezwaniem,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9379,Promocja gospodarcza i inwestycyjna regionu świętokrzyskiego w oparciu o potencjał kieleckiego ośrodka targowego,"Izba Gospodarcza ""Grono Targowe Kielce""",3333991.6,2667193.28,,,669003.6690721246,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gospodarcza grono izba kielce targowe,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9380,Poprawa konkurencyjności przedsiębiorstwa poprzez wdrożenie do produkcji nowych opakowań giętkich opracowanych na podstawie wyników badań dzięki pozyskaniu innowacyjnej technologii produkcji folii.,Fabryka Opakowan Foliowych ROSSOPLAST D. i R. Rossochaccy Spółka Jawna,6455533.59,2666799.51,,,668904.9009863073,eu_cofinancing_amount,,"","",POLSKA,PL,"",D fabryka foliowych i jawna opakowan r rossochaccy rossoplast spolka,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9381,Rewitalizacja budynku Komendy Wojewódzkiej Policji w Olsztynie przy ul.Piłsudskiego 5,Komenda Wojewódzka Policji w Olsztynie,4850098.22,2666536.34,,,668838.8908861357,eu_cofinancing_amount,,"","",POLSKA,PL,"",Komenda olsztynie policji w wojewodzka,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9382,Budowa wolnostojących elektrowni fotowoltaicznych w powiecie łukowskim w ramach nowych inwestycji przedsiębiorstwa SIGMA-WOLTAIKA sp. z o.o.,SIGMA-WOLTAIKA Spółka z ograniczoną odpowiedzialnością,8929384.88,2665743.39,,,668639.9977412825,eu_cofinancing_amount,,"","",POLSKA,PL,"",Odpowiedzialnoscia ograniczona sigma spolka woltaika z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
